성별_이용자종류,이용시간(분)
내국인 F,21.283843450984314
내국인 M,19.87652983768436
비회원 F,39.29337580615682
비회원 M,39.347573992567796
외국인 F,65.91986644407345
외국인 M,64.17264573991031
