요일,이용시간(분),이용거리(M)
금,19.88701924209792,2224.5789207070516
목,20.003134564035758,2240.018885571952
수,19.98467700341693,2258.690870812112
월,19.32403055683431,2196.893013234792
일,23.358427718527786,2649.3753514453724
토,23.953373650958852,2607.717360550836
화,19.162282837217887,2150.368133171286
